shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1-SHUTTLE-A-NB,13336,47.515740,-122.278940,9285.58
1-SHUTTLE-A-NB,13337,47.515900,-122.278970,9303.51
1-SHUTTLE-A-NB,13338,47.516030,-122.278990,9318.05
1-SHUTTLE-A-NB,13339,47.516320,-122.279040,9350.51
1-SHUTTLE-A-NB,13340,47.516610,-122.279100,9383.07
1-SHUTTLE-A-NB,13341,47.516710,-122.279120,9394.29
1-SHUTTLE-A-NB,13342,47.517080,-122.279200,9435.87
1-SHUTTLE-A-NB,13343,47.517260,-122.279240,9456.11
1-SHUTTLE-A-NB,13344,47.517360,-122.279260,9467.33
1-SHUTTLE-A-NB,13345,47.517510,-122.279300,9484.28
1-SHUTTLE-A-NB,13346,47.517880,-122.279400,9526.1
1-SHUTTLE-A-NB,13347,47.518260,-122.279490,9568.89
1-SHUTTLE-A-NB,13348,47.518470,-122.279550,9592.67
1-SHUTTLE-A-NB,13349,47.519400,-122.279760,9697.28
1-SHUTTLE-A-NB,13350,47.519660,-122.279790,9726.28
1-SHUTTLE-A-NB,13351,47.519920,-122.279810,9755.23
1-SHUTTLE-A-NB,13352,47.520220,-122.279790,9788.62
1-SHUTTLE-A-NB,13353,47.520590,-122.279750,9829.87
1-SHUTTLE-A-NB,13354,47.520610,-122.279740,9832.22
1-SHUTTLE-A-NB,13355,47.520820,-122.279700,9855.76
1-SHUTTLE-A-NB,13356,47.521290,-122.279570,9908.93
1-SHUTTLE-A-NB,13357,47.521610,-122.279480,9945.15
1-SHUTTLE-A-NB,13358,47.521970,-122.279370,9986.02
1-SHUTTLE-A-NB,13359,47.522260,-122.279280,10018.97
1-SHUTTLE-A-NB,13360,47.522700,-122.279150,10068.86
1-SHUTTLE-A-NB,13361,47.522780,-122.279130,10077.88
1-SHUTTLE-A-NB,13362,47.522950,-122.279080,10097.15
1-SHUTTLE-A-NB,13363,47.523120,-122.279040,10116.29
1-SHUTTLE-A-NB,13364,47.523260,-122.279000,10132.14
1-SHUTTLE-A-NB,13365,47.523390,-122.278960,10146.91
